Work_Order_ID,Batch_ID,Product_Code,Master_Recipe_ID,Batch_Phase,Phase_Step,Parameter_Name,Parameter_Value,Performed_By,Verified_By,Execution_Timestamp,Execution_Status,Equipment_ID
WO-2025102,B2025102,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,71.2,OP-dsmith,OP-cramos,2025-03-23 14:20:39,,N/A
WO-2025102,B2025102,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,71.6,OP-cramos,OP-istanton,2025-03-23 16:01:39,Within Spec,EQP003
WO-2025102,B2025102,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,7.75,OP-cramos,OP-efigueroa,2025-03-23 18:01:39,Out of Spec,EQP003
WO-2025124,B2025124,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Excipient X,MAT-001,64.25,OP-rachaelclark,OP-kyle12,2024-08-25 04:28:26,,N/A
WO-2025124,B2025124,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Coating Agent Z,MAT-003,77.67,OP-dsmith,OP-dana45,2024-08-25 04:30:26,,N/A
WO-2025124,B2025124,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense API-Alpha,MAT-002,73.48,OP-veronicascott,OP-dsmith,2024-08-25 04:24:26,,N/A
WO-2025124,B2025124,PROD-004,RECIPE-PROD-004-V2,Manufacturing,Heating Step,Temperature,84.8,OP-rachaelclark,OP-cramos,2024-08-25 06:04:26,Out of Spec,EQP007
WO-2025124,B2025124,PROD-004,RECIPE-PROD-004-V2,Manufacturing,pH Adjustment,pH,7.55,OP-rachaelclark,OP-john51,2024-08-25 08:04:26,Out of Spec,EQP007
WO-2025124,B2025124,Product D,RECIPE-PROD-004-V2,Packaging,Final Label Check,Label Verification,Pass,OP-rachaelclark,OP-cramos,2024-08-25 12:04:26,Completed,PKG-LINE-01
WO-2025056,B2025056,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Excipient X,MAT-001,70.88,OP-thomas69,OP-efigueroa,2024-12-03 14:14:17,,N/A
WO-2025056,B2025056,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Coating Agent Z,MAT-003,85.93,OP-efigueroa,OP-wagnerjason,2024-12-03 14:29:17,,N/A
WO-2025056,B2025056,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense API-Alpha,MAT-002,65.43,OP-cramos,OP-cody37,2024-12-03 14:10:17,,N/A
WO-2025056,B2025056,PROD-002,RECIPE-PROD-002-V1,Manufacturing,Heating Step,Temperature,71.9,OP-john51,OP-dana45,2024-12-03 16:00:17,Within Spec,EQP004
WO-2025056,B2025056,PROD-002,RECIPE-PROD-002-V1,Manufacturing,pH Adjustment,pH,7.78,OP-john51,OP-veronicascott,2024-12-03 18:00:17,Out of Spec,EQP004
WO-2025121,B2025121,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense API-Alpha,MAT-002,78.57,OP-cramos,OP-veronicascott,2024-11-08 05:22:39,,N/A
WO-2025121,B2025121,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Coating Agent Z,MAT-003,67.91,OP-thomas69,,2024-11-08 05:01:39,,N/A
WO-2025121,B2025121,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Excipient X,MAT-001,68.58,OP-thomas69,OP-istanton,2024-11-08 05:08:39,,N/A
WO-2025121,B2025121,PROD-003,RECIPE-PROD-003-V2,Manufacturing,Heating Step,Temperature,75.2,OP-cramos,OP-wagnerjason,2024-11-08 06:56:39,Within Spec,EQP007
WO-2025121,B2025121,PROD-003,RECIPE-PROD-003-V2,Manufacturing,pH Adjustment,pH,6.81,OP-cramos,OP-thomas69,2024-11-08 08:56:39,Within Spec,EQP007
WO-2025110,B2025110,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Coating Agent Z,MAT-003,50.46,OP-thomas69,OP-dana45,2025-04-28 05:41:30,,N/A
WO-2025110,B2025110,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense API-Alpha,MAT-002,55.34,OP-thomas69,OP-dana45,2025-04-28 05:47:30,,N/A
WO-2025110,B2025110,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Excipient X,MAT-001,77.65,OP-cramos,OP-john51,2025-04-28 05:44:30,,N/A
WO-2025110,B2025110,PROD-002,RECIPE-PROD-002-V2,Manufacturing,Heating Step,Temperature,81.3,OP-john51,OP-john51,2025-04-28 07:30:30,Out of Spec,EQP001
WO-2025110,B2025110,PROD-002,RECIPE-PROD-002-V2,Manufacturing,pH Adjustment,pH,7.04,OP-john51,OP-cody37,2025-04-28 09:30:30,Within Spec,EQP001
WO-2025071,B2025071,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,90.52,OP-hoffmanalvin,OP-wagnerjason,2024-11-20 03:23:49,,N/A
WO-2025071,B2025071,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,62.93,OP-istanton,OP-efigueroa,2024-11-20 03:21:49,,N/A
WO-2025071,B2025071,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,79.38,OP-rachaelclark,OP-hoffmanalvin,2024-11-20 03:12:49,,N/A
WO-2025071,B2025071,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,77.7,OP-veronicascott,OP-dsmith,2024-11-20 05:01:49,Within Spec,EQP004
WO-2025071,B2025071,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,6.43,OP-veronicascott,OP-dana45,2024-11-20 07:01:49,Out of Spec,EQP004
WO-2025184,B2025184,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense API-Alpha,MAT-002,77.07,OP-garzaeric,OP-veronicascott,2025-05-20 11:36:42,,N/A
WO-2025184,B2025184,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Excipient X,MAT-001,72.97,OP-cody37,OP-dsmith,2025-05-20 11:30:42,,N/A
WO-2025184,B2025184,PROD-001,RECIPE-PROD-001-V2,Manufacturing,Heating Step,Temperature,75.5,OP-istanton,OP-efigueroa,2025-05-20 13:11:42,Within Spec,EQP003
WO-2025184,B2025184,PROD-001,RECIPE-PROD-001-V2,Manufacturing,pH Adjustment,pH,6.55,OP-istanton,OP-cody37,2025-05-20 15:11:42,Within Spec,EQP003
WO-2025131,B2025131,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Excipient X,MAT-001,53.16,OP-efigueroa,OP-veronicascott,2025-05-19 13:35:33,,N/A
WO-2025131,B2025131,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense API-Alpha,MAT-002,82.57,OP-dana45,OP-john51,2025-05-19 13:23:33,,N/A
WO-2025131,B2025131,PROD-001,RECIPE-PROD-001-V1,Manufacturing,Heating Step,Temperature,75.2,OP-thomas69,OP-cody37,2025-05-19 15:18:33,Within Spec,EQP006
WO-2025131,B2025131,PROD-001,RECIPE-PROD-001-V1,Manufacturing,pH Adjustment,pH,6.49,OP-thomas69,OP-rachaelclark,2025-05-19 17:18:33,Out of Spec,EQP006
WO-2025079,B2025079,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Coating Agent Z,MAT-003,59.33,OP-istanton,,2024-07-14 10:53:02,,N/A
WO-2025079,B2025079,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense API-Alpha,MAT-002,76.08,OP-hoffmanalvin,OP-cramos,2024-07-14 10:58:02,,N/A
WO-2025079,B2025079,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Excipient X,MAT-001,58.33,OP-efigueroa,OP-kyle12,2024-07-14 10:37:02,,N/A
WO-2025079,B2025079,PROD-002,RECIPE-PROD-002-V1,Manufacturing,Heating Step,Temperature,70.5,OP-kyle12,OP-wagnerjason,2024-07-14 12:28:02,Within Spec,EQP002
WO-2025079,B2025079,PROD-002,RECIPE-PROD-002-V1,Manufacturing,pH Adjustment,pH,6.58,OP-kyle12,OP-efigueroa,2024-07-14 14:28:02,Within Spec,EQP002
WO-2025150,B2025150,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense API-Alpha,MAT-002,61.38,OP-garzaeric,OP-john51,2025-02-01 21:59:07,,N/A
WO-2025150,B2025150,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Excipient X,MAT-001,64.35,OP-dana45,OP-veronicascott,2025-02-01 22:05:07,,N/A
WO-2025150,B2025150,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Coating Agent Z,MAT-003,74.06,OP-kyle12,,2025-02-01 22:10:07,,N/A
WO-2025150,B2025150,PROD-004,RECIPE-PROD-004-V2,Manufacturing,Heating Step,Temperature,80.4,OP-john51,OP-thomas69,2025-02-01 23:41:07,Out of Spec,EQP005
WO-2025150,B2025150,PROD-004,RECIPE-PROD-004-V2,Manufacturing,pH Adjustment,pH,6.75,OP-john51,OP-veronicascott,2025-02-02 01:41:07,Within Spec,EQP005
WO-2025150,B2025150,Product D,RECIPE-PROD-004-V2,Packaging,Final Label Check,Label Verification,Pass,OP-john51,OP-garzaeric,2025-02-02 05:41:07,Completed,PKG-LINE-01
WO-2025139,B2025139,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,65.52,OP-hoffmanalvin,OP-garzaeric,2024-12-02 00:36:26,,N/A
WO-2025139,B2025139,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Coating Agent Z,MAT-003,73.23,OP-cramos,OP-john51,2024-12-02 00:31:26,,N/A
WO-2025139,B2025139,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,84.0,OP-cramos,OP-istanton,2024-12-02 02:19:26,Out of Spec,EQP001
WO-2025139,B2025139,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,6.9,OP-cramos,OP-dsmith,2024-12-02 04:19:26,Within Spec,EQP001
WO-2025139,B2025139,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-cramos,OP-garzaeric,2024-12-02 08:19:26,Completed,PKG-LINE-01
WO-2025135,B2025135,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Excipient X,MAT-001,63.77,OP-dana45,OP-dsmith,2024-11-07 03:33:16,,N/A
WO-2025135,B2025135,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense API-Alpha,MAT-002,85.8,OP-istanton,OP-dana45,2024-11-07 03:47:16,,N/A
WO-2025135,B2025135,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Coating Agent Z,MAT-003,66.99,OP-veronicascott,OP-rachaelclark,2024-11-07 03:31:16,,N/A
WO-2025135,B2025135,PROD-001,RECIPE-PROD-001-V1,Manufacturing,Heating Step,Temperature,75.8,OP-thomas69,OP-thomas69,2024-11-07 05:24:16,Within Spec,EQP005
WO-2025135,B2025135,PROD-001,RECIPE-PROD-001-V1,Manufacturing,pH Adjustment,pH,6.62,OP-thomas69,OP-cramos,2024-11-07 07:24:16,Within Spec,EQP005
WO-2025026,B2025026,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,93.83,OP-dana45,OP-cody37,2024-08-31 08:56:04,,N/A
WO-2025026,B2025026,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Coating Agent Z,MAT-003,61.58,OP-john51,OP-istanton,2024-08-31 09:15:04,,N/A
WO-2025026,B2025026,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,77.5,OP-istanton,OP-dsmith,2024-08-31 10:45:04,Within Spec,EQP005
WO-2025026,B2025026,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,6.66,OP-istanton,OP-dana45,2024-08-31 12:45:04,Within Spec,EQP005
WO-2025026,B2025026,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-istanton,OP-cramos,2024-08-31 16:45:04,Completed,PKG-LINE-01
WO-2025132,B2025132,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,60.82,OP-cramos,OP-efigueroa,2025-01-11 20:32:30,,N/A
WO-2025132,B2025132,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,91.13,OP-thomas69,OP-garzaeric,2025-01-11 20:28:30,,N/A
WO-2025132,B2025132,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,72.9,OP-rachaelclark,OP-veronicascott,2025-01-11 22:08:30,Within Spec,EQP001
WO-2025132,B2025132,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,6.7,OP-rachaelclark,OP-wagnerjason,2025-01-12 00:08:30,Within Spec,EQP001
WO-2025052,B2025052,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense API-Alpha,MAT-002,97.14,OP-cramos,OP-wagnerjason,2024-11-22 03:05:34,,N/A
WO-2025052,B2025052,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Coating Agent Z,MAT-003,97.06,OP-rachaelclark,OP-thomas69,2024-11-22 03:22:34,,N/A
WO-2025052,B2025052,PROD-002,RECIPE-PROD-002-V1,Manufacturing,Heating Step,Temperature,82.3,OP-rachaelclark,OP-garzaeric,2024-11-22 05:00:34,Out of Spec,EQP006
WO-2025052,B2025052,PROD-002,RECIPE-PROD-002-V1,Manufacturing,pH Adjustment,pH,7.02,OP-rachaelclark,OP-dana45,2024-11-22 07:00:34,Within Spec,EQP006
WO-2025004,B2025004,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Excipient X,MAT-001,89.06,OP-veronicascott,OP-garzaeric,2024-07-11 03:34:35,,N/A
WO-2025004,B2025004,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense API-Alpha,MAT-002,85.14,OP-cody37,OP-istanton,2024-07-11 03:27:35,,N/A
WO-2025004,B2025004,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Coating Agent Z,MAT-003,56.53,OP-efigueroa,OP-cody37,2024-07-11 03:29:35,,N/A
WO-2025004,B2025004,PROD-003,RECIPE-PROD-003-V1,Manufacturing,Heating Step,Temperature,81.0,OP-hoffmanalvin,OP-thomas69,2024-07-11 05:10:35,Out of Spec,EQP002
WO-2025004,B2025004,PROD-003,RECIPE-PROD-003-V1,Manufacturing,pH Adjustment,pH,7.5,OP-hoffmanalvin,OP-dana45,2024-07-11 07:10:35,Within Spec,EQP002
WO-2025159,B2025159,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense Coating Agent Z,MAT-003,77.77,OP-rachaelclark,OP-efigueroa,2025-02-20 10:07:41,,N/A
WO-2025159,B2025159,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense Excipient X,MAT-001,65.66,OP-dsmith,OP-john51,2025-02-20 10:19:41,,N/A
WO-2025159,B2025159,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense API-Alpha,MAT-002,81.91,OP-cramos,OP-garzaeric,2025-02-20 10:15:41,,N/A
WO-2025159,B2025159,PROD-001,RECIPE-PROD-001-V3,Manufacturing,Heating Step,Temperature,75.6,OP-veronicascott,OP-efigueroa,2025-02-20 11:51:41,Within Spec,EQP002
WO-2025159,B2025159,PROD-001,RECIPE-PROD-001-V3,Manufacturing,pH Adjustment,pH,6.57,OP-veronicascott,OP-istanton,2025-02-20 13:51:41,Within Spec,EQP002
WO-2025103,B2025103,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,60.88,OP-rachaelclark,OP-hoffmanalvin,2025-02-22 02:29:04,,N/A
WO-2025103,B2025103,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,91.42,OP-hoffmanalvin,OP-garzaeric,2025-02-22 02:28:04,,N/A
WO-2025103,B2025103,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,66.96,OP-wagnerjason,OP-cramos,2025-02-22 02:33:04,,N/A
WO-2025103,B2025103,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,75.5,OP-wagnerjason,OP-cramos,2025-02-22 04:05:04,Within Spec,EQP003
WO-2025103,B2025103,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,7.89,OP-wagnerjason,OP-cramos,2025-02-22 06:05:04,Out of Spec,EQP003
WO-2025040,B2025040,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense API-Alpha,MAT-002,89.35,OP-efigueroa,OP-hoffmanalvin,2024-11-23 17:08:08,,N/A
WO-2025040,B2025040,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Excipient X,MAT-001,97.77,OP-dana45,OP-wagnerjason,2024-11-23 17:22:08,,N/A
WO-2025040,B2025040,PROD-004,RECIPE-PROD-004-V2,Manufacturing,Heating Step,Temperature,79.3,OP-cody37,OP-cody37,2024-11-23 19:03:08,Within Spec,EQP007
WO-2025040,B2025040,PROD-004,RECIPE-PROD-004-V2,Manufacturing,pH Adjustment,pH,6.37,OP-cody37,OP-john51,2024-11-23 21:03:08,Out of Spec,EQP007
WO-2025040,B2025040,Product D,RECIPE-PROD-004-V2,Packaging,Final Label Check,Label Verification,Pass,OP-cody37,OP-cramos,2024-11-24 01:03:08,Completed,PKG-LINE-01
WO-2025113,B2025113,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Coating Agent Z,MAT-003,89.35,OP-dana45,OP-wagnerjason,2024-08-14 10:50:38,,N/A
WO-2025113,B2025113,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,52.31,OP-thomas69,OP-efigueroa,2024-08-14 10:54:38,,N/A
WO-2025113,B2025113,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Excipient X,MAT-001,87.28,OP-cody37,OP-john51,2024-08-14 10:58:38,,N/A
WO-2025113,B2025113,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,77.8,OP-kyle12,OP-veronicascott,2024-08-14 12:29:38,Within Spec,EQP006
WO-2025113,B2025113,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,7.57,OP-kyle12,OP-wagnerjason,2024-08-14 14:29:38,Out of Spec,EQP006
WO-2025113,B2025113,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-kyle12,OP-veronicascott,2024-08-14 18:29:38,Completed,PKG-LINE-01
WO-2025058,B2025058,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense Excipient X,MAT-001,66.88,OP-hoffmanalvin,OP-dana45,2024-10-07 09:01:23,,N/A
WO-2025058,B2025058,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense API-Alpha,MAT-002,82.67,OP-istanton,OP-garzaeric,2024-10-07 08:47:23,,N/A
WO-2025058,B2025058,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense Coating Agent Z,MAT-003,58.97,OP-efigueroa,OP-hoffmanalvin,2024-10-07 09:02:23,,N/A
WO-2025058,B2025058,PROD-001,RECIPE-PROD-001-V3,Manufacturing,Heating Step,Temperature,76.3,OP-cody37,OP-kyle12,2024-10-07 10:41:23,Within Spec,EQP007
WO-2025058,B2025058,PROD-001,RECIPE-PROD-001-V3,Manufacturing,pH Adjustment,pH,6.47,OP-cody37,OP-dsmith,2024-10-07 12:41:23,Out of Spec,EQP007
WO-2025092,B2025092,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense API-Alpha,MAT-002,75.61,OP-wagnerjason,OP-istanton,2025-03-26 06:44:12,,N/A
WO-2025092,B2025092,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Excipient X,MAT-001,87.13,OP-rachaelclark,OP-hoffmanalvin,2025-03-26 06:49:12,,N/A
WO-2025092,B2025092,PROD-001,RECIPE-PROD-001-V1,Manufacturing,Heating Step,Temperature,76.1,OP-cramos,OP-john51,2025-03-26 08:30:12,Within Spec,EQP003
WO-2025092,B2025092,PROD-001,RECIPE-PROD-001-V1,Manufacturing,pH Adjustment,pH,6.53,OP-cramos,OP-hoffmanalvin,2025-03-26 10:30:12,Within Spec,EQP003
WO-2025106,B2025106,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Excipient X,MAT-001,55.61,OP-garzaeric,OP-veronicascott,2024-10-31 22:14:17,,N/A
WO-2025106,B2025106,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense API-Alpha,MAT-002,97.79,OP-kyle12,OP-john51,2024-10-31 22:08:17,,N/A
WO-2025106,B2025106,PROD-003,RECIPE-PROD-003-V2,Manufacturing,Heating Step,Temperature,76.5,OP-dsmith,OP-istanton,2024-10-31 23:53:17,Within Spec,EQP004
WO-2025106,B2025106,PROD-003,RECIPE-PROD-003-V2,Manufacturing,pH Adjustment,pH,6.96,OP-dsmith,OP-rachaelclark,2024-11-01 01:53:17,Within Spec,EQP004
WO-2025078,B2025078,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense API-Alpha,MAT-002,58.49,OP-veronicascott,OP-thomas69,2025-01-19 06:30:53,,N/A
WO-2025078,B2025078,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Excipient X,MAT-001,88.42,OP-efigueroa,OP-cody37,2025-01-19 06:22:53,,N/A
WO-2025078,B2025078,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Coating Agent Z,MAT-003,71.93,OP-cody37,OP-efigueroa,2025-01-19 06:07:53,,N/A
WO-2025078,B2025078,PROD-001,RECIPE-PROD-001-V2,Manufacturing,Heating Step,Temperature,76.5,OP-dana45,OP-dsmith,2025-01-19 08:00:53,Within Spec,EQP001
WO-2025078,B2025078,PROD-001,RECIPE-PROD-001-V2,Manufacturing,pH Adjustment,pH,6.53,OP-dana45,OP-veronicascott,2025-01-19 10:00:53,Within Spec,EQP001
WO-2025081,B2025081,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,95.25,OP-cramos,,2024-11-12 18:40:45,,N/A
WO-2025081,B2025081,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,95.03,OP-dsmith,OP-wagnerjason,2024-11-12 18:51:45,,N/A
WO-2025081,B2025081,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,91.98,OP-rachaelclark,OP-dsmith,2024-11-12 18:56:45,,N/A
WO-2025081,B2025081,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,77.6,OP-hoffmanalvin,OP-hoffmanalvin,2024-11-12 20:29:45,Within Spec,EQP005
WO-2025081,B2025081,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.15,OP-hoffmanalvin,OP-garzaeric,2024-11-12 22:29:45,Out of Spec,EQP005
WO-2025081,B2025081,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-hoffmanalvin,OP-hoffmanalvin,2024-11-13 02:29:45,Completed,PKG-LINE-01
WO-2025217,B2025217,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Excipient X,MAT-001,83.39,OP-istanton,OP-john51,2024-08-20 06:26:26,,N/A
WO-2025217,B2025217,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense API-Alpha,MAT-002,63.35,OP-cody37,OP-efigueroa,2024-08-20 06:31:26,,N/A
WO-2025217,B2025217,PROD-003,RECIPE-PROD-003-V2,Manufacturing,Heating Step,Temperature,83.5,OP-efigueroa,OP-cramos,2024-08-20 08:08:26,Out of Spec,EQP006
WO-2025217,B2025217,PROD-003,RECIPE-PROD-003-V2,Manufacturing,pH Adjustment,pH,7.12,OP-efigueroa,OP-cramos,2024-08-20 10:08:26,Within Spec,EQP006
WO-2025008,B2025008,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,78.93,OP-hoffmanalvin,OP-thomas69,2025-04-13 18:47:43,,N/A
WO-2025008,B2025008,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Coating Agent Z,MAT-003,72.93,OP-dsmith,OP-dana45,2025-04-13 18:43:43,,N/A
WO-2025008,B2025008,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Excipient X,MAT-001,88.08,OP-kyle12,OP-cody37,2025-04-13 18:50:43,,N/A
WO-2025008,B2025008,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,79.6,OP-efigueroa,OP-cramos,2025-04-13 20:28:43,Within Spec,EQP007
WO-2025008,B2025008,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,6.11,OP-efigueroa,OP-veronicascott,2025-04-13 22:28:43,Out of Spec,EQP007
WO-2025008,B2025008,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-efigueroa,OP-dana45,2025-04-14 02:28:43,Completed,PKG-LINE-01
WO-2025098,B2025098,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Coating Agent Z,MAT-003,65.2,OP-thomas69,OP-dsmith,2024-09-11 04:09:37,,N/A
WO-2025098,B2025098,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Excipient X,MAT-001,80.87,OP-dana45,OP-istanton,2024-09-11 04:20:37,,N/A
WO-2025098,B2025098,PROD-001,RECIPE-PROD-001-V2,Manufacturing,Heating Step,Temperature,76.8,OP-istanton,OP-istanton,2024-09-11 05:51:37,Within Spec,EQP005
WO-2025098,B2025098,PROD-001,RECIPE-PROD-001-V2,Manufacturing,pH Adjustment,pH,6.51,OP-istanton,OP-garzaeric,2024-09-11 07:51:37,Within Spec,EQP005
WO-2025165,B2025165,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Excipient X,MAT-001,72.78,OP-kyle12,OP-hoffmanalvin,2025-02-24 22:29:10,,N/A
WO-2025165,B2025165,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense API-Alpha,MAT-002,76.49,OP-cody37,OP-dana45,2025-02-24 22:41:10,,N/A
WO-2025165,B2025165,PROD-002,RECIPE-PROD-002-V1,Manufacturing,Heating Step,Temperature,85.0,OP-dsmith,OP-cody37,2025-02-25 00:14:10,Out of Spec,EQP005
WO-2025165,B2025165,PROD-002,RECIPE-PROD-002-V1,Manufacturing,pH Adjustment,pH,6.17,OP-dsmith,OP-efigueroa,2025-02-25 02:14:10,Out of Spec,EQP005
WO-2025176,B2025176,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,95.13,OP-istanton,OP-cody37,2024-12-29 06:19:58,,N/A
WO-2025176,B2025176,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,61.58,OP-rachaelclark,OP-veronicascott,2024-12-29 06:17:58,,N/A
WO-2025176,B2025176,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,77.2,OP-rachaelclark,OP-cody37,2024-12-29 08:06:58,Within Spec,EQP002
WO-2025176,B2025176,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.53,OP-rachaelclark,OP-cody37,2024-12-29 10:06:58,Within Spec,EQP002
WO-2025176,B2025176,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-rachaelclark,OP-efigueroa,2024-12-29 14:06:58,Completed,PKG-LINE-01
WO-2025107,B2025107,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,93.47,OP-dana45,,2024-09-27 13:23:16,,N/A
WO-2025107,B2025107,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,59.0,OP-hoffmanalvin,OP-efigueroa,2024-09-27 13:28:16,,N/A
